eps0,frozen_raw_chi2,frozen_profiled_chi2,frozen_best_offset_mag,published_raw_chi2,published_profiled_chi2,published_best_offset_mag,frozen_profiled_delta_chi2,published_profiled_delta_chi2
-0.100000000000,2593.278250301160,1762.793128166089,-0.105021820951,9218.204124817677,1751.423763569049,-0.314905542216,-1.399326121905,-12.768690718945
-0.097500000000,2593.696607124614,1762.825996097340,-0.105046192277,8960.626946058912,1751.505453720234,-0.309424564333,-1.366458190655,-12.687000567760
-0.095000000000,2594.113868225402,1762.858992375221,-0.105070480590,8708.229950700845,1751.601502707756,-0.303957609319,-1.333461912774,-12.590951580239
-0.092500000000,2594.530037750302,1762.892115272908,-0.105094686317,8460.975053002878,1751.711716046602,-0.298504604721,-1.300339015087,-12.480738241392
-0.090000000000,2594.945119826766,1762.925363082028,-0.105118809885,8218.824521046781,1751.835901901893,-0.293065478651,-1.267091205966,-12.356552386102
-0.087500000000,2595.359118563067,1762.958734112513,-0.105142851716,7981.740972609369,1751.973871048286,-0.287640159781,-1.233720175482,-12.218583239708
-0.085000000000,2595.772038048482,1762.992226692344,-0.105166812230,7749.687371099813,1752.125436830173,-0.282228577335,-1.200227595651,-12.067017457821
-0.082500000000,2596.183882353333,1763.025839167359,-0.105190691843,7522.627021548136,1752.290415122635,-0.276830661089,-1.166615120635,-11.902039165359
-0.080000000000,2596.594655529066,1763.059569901064,-0.105214490971,7300.523566652275,1752.468624292880,-0.271446341356,-1.132884386930,-11.723829995114
-0.077500000000,2597.004361608295,1763.093417274414,-0.105238210024,7083.340982883941,1752.659885162572,-0.266075548989,-1.099037013580,-11.532569125422
-0.075000000000,2597.413004605020,1763.127379685611,-0.105261849410,6871.043576642920,1752.864020970613,-0.260718215372,-1.065074602383,-11.328433317381
-0.072500000000,2597.820588514599,1763.161455549921,-0.105285409536,6663.595980470713,1753.080857336699,-0.255374272414,-1.030998738073,-11.111596951296
-0.070000000000,2598.227117313891,1763.195643299475,-0.105308890803,6460.963149313085,1753.310222225452,-0.250043652543,-0.996810988519,-10.882232062542
-0.067500000000,2598.632594961344,1763.229941383090,-0.105332293613,6263.110356837125,1753.551945911126,-0.244726288704,-0.962512904905,-10.640508376869
-0.065000000000,2599.037025397039,1763.264348266023,-0.105355618362,6070.003191796156,1753.805860942985,-0.239422114351,-0.928106021972,-10.386593345010
-0.062500000000,2599.440412542832,1763.298862429872,-0.105378865445,5881.607554450138,1754.071802111205,-0.234131063442,-0.893591858122,-10.120652176789
-0.060000000000,2599.842760302451,1763.333482372340,-0.105402035255,5697.889653029761,1754.349606413427,-0.228853070435,-0.858971915654,-9.842847874567
-0.057500000000,2600.244072561545,1763.368206607040,-0.105425128179,5518.816000252576,1754.639113021779,-0.223588070281,-0.824247680954,-9.553341266215
-0.055000000000,2600.644353187729,1763.403033663349,-0.105448144606,5344.353409886742,1754.940163250576,-0.218335998422,-0.789420624646,-9.252291037418
